user_id,road_user_type,gender,age,age_group,age_group_id
97,Motorcycle rider,Male,43,40_to_64,4
98,Driver,Male,38,26_to_39,3
99,Driver,Male,15,0_to_16,5
100,Driver,Male,27,26_to_39,3
101,Pedestrian,Male,63,40_to_64,4
102,Motorcycle rider,Male,38,26_to_39,3
103,Pedal cyclist,Male,36,26_to_39,3
104,Motorcycle rider,Male,47,40_to_64,4
105,Driver,Female,78,75_or_older,6
106,Driver,Female,19,17_to_25,2
107,Driver,Female,76,75_or_older,6
108,Passenger,Male,23,17_to_25,2
109,Driver,Female,78,75_or_older,6
110,Passenger,Male,25,17_to_25,2
111,Pedestrian,Male,29,26_to_39,3
112,Driver,Male,37,26_to_39,3
113,Pedestrian,Female,71,65_to_74,1
114,Driver,Male,18,17_to_25,2
115,Driver,Female,42,40_to_64,4
116,Driver,Female,15,0_to_16,5
117,Driver,Male,26,26_to_39,3
118,Driver,Male,21,17_to_25,2
119,Passenger,Female,60,40_to_64,4
120,Driver,Male,57,40_to_64,4
121,Driver,Male,30,26_to_39,3
122,Driver,Male,36,26_to_39,3
123,Pedestrian,Female,48,40_to_64,4
124,Motorcycle rider,Female,60,40_to_64,4
125,Motorcycle rider,Male,68,65_to_74,1
126,Motorcycle rider,Male,66,65_to_74,1
127,Pedal cyclist,Male,65,65_to_74,1
128,Passenger,Male,19,17_to_25,2
129,Driver,Male,20,17_to_25,2
130,Pedestrian,Male,35,26_to_39,3
131,Pedestrian,Male,28,26_to_39,3
132,Driver,Male,45,40_to_64,4
133,Passenger,Male,30,26_to_39,3
134,Driver,Male,70,65_to_74,1
135,Pedestrian,Female,31,26_to_39,3
136,Driver,Male,62,40_to_64,4
137,Driver,Female,69,65_to_74,1
138,Pedestrian,Female,83,75_or_older,6
139,Driver,Female,51,40_to_64,4
140,Driver,Male,37,26_to_39,3
141,Passenger,Male,66,65_to_74,1
142,Driver,Male,76,75_or_older,6
143,Motorcycle rider,Male,55,40_to_64,4
144,Driver,Male,31,26_to_39,3
145,Driver,Male,60,40_to_64,4
146,Driver,Male,56,40_to_64,4
147,Driver,Female,55,40_to_64,4
148,Passenger,Male,82,75_or_older,6
149,Pedal cyclist,Male,43,40_to_64,4
150,Driver,Male,66,65_to_74,1
151,Pedestrian,Female,21,17_to_25,2
152,Driver,Male,56,40_to_64,4
153,Driver,Male,29,26_to_39,3
154,Driver,Female,75,75_or_older,6
155,Driver,Male,53,40_to_64,4
156,Motorcycle rider,Male,32,26_to_39,3
