vehicle_id,crash_id,bus_flag,heavy_rigid_flag,articulated_flag,State,vehicle_type
1989,20221240,False,False,False,NSW,Other
1990,20223055,False,False,False,QLD,Other
1991,20223258,False,False,False,QLD,Other
1992,20223164,False,False,False,QLD,Other
1993,20221199,False,False,False,NSW,Other
1994,20221016,False,False,False,NSW,Other
1995,20222205,False,False,True,VIC,Articulated Truck
1996,20222103,False,False,False,VIC,Other
1997,20223152,False,False,False,QLD,Other
1998,20224065,False,False,False,SA,Other
1999,20221080,False,False,False,NSW,Other
2000,20221008,False,False,False,NSW,Other
2001,20222142,False,False,False,VIC,Other
2002,20222019,False,False,False,VIC,Other
2003,20223246,False,False,False,QLD,Other
2004,20223135,False,False,False,QLD,Other
2005,20222180,False,False,True,VIC,Articulated Truck
2006,20221017,False,False,False,NSW,Other
2007,20223166,False,False,False,QLD,Other
2008,20222111,False,True,False,VIC,Heavy Rigid Truck
2009,20222135,False,False,False,VIC,Other
2010,20221152,False,False,False,NSW,Other
2011,20223162,False,False,False,QLD,Other
2012,20221225,False,False,False,NSW,Other
2013,20226005,False,False,False,TAS,Other
2014,20223208,False,False,False,QLD,Other
2015,20221230,False,False,False,NSW,Other
2016,20226007,False,False,False,TAS,Other
2017,20223005,False,False,True,QLD,Articulated Truck
2018,20223003,False,True,False,QLD,Heavy Rigid Truck
2019,20221132,False,False,False,NSW,Other
2020,20221094,False,False,False,NSW,Other
2021,20222021,False,False,False,VIC,Other
2022,20223209,True,False,False,QLD,Bus
2023,20221195,False,False,False,NSW,Other
2024,20221026,False,False,False,NSW,Other
2025,20221192,False,False,False,NSW,Other
2026,20222073,False,False,False,VIC,Other
2027,20221163,False,False,False,NSW,Other
2028,20223016,False,False,False,QLD,Other
2029,20222204,False,False,False,VIC,Other
2030,20224007,False,False,False,SA,Other
2031,20223249,False,False,False,QLD,Other
2032,20226006,False,False,False,TAS,Other
2033,20221126,False,False,False,NSW,Other
2034,20221107,False,False,False,NSW,Other
2035,20223226,False,False,False,QLD,Other
2036,20223002,False,False,False,QLD,Other
2037,20222191,False,True,True,VIC,Heavy Rigid Truck
2038,20221097,False,False,False,NSW,Other
2039,20223214,False,False,False,QLD,Other
2040,20222040,False,False,False,VIC,Other
2041,20223075,False,False,False,QLD,Other
2042,20223073,False,True,False,QLD,Heavy Rigid Truck
2043,20221210,False,False,False,NSW,Other
2044,20222037,False,False,False,VIC,Other
2045,20224061,False,False,False,SA,Other
2046,20222184,False,False,False,VIC,Other
2047,20223139,False,False,False,QLD,Other
2048,20221180,False,False,False,NSW,Other
2049,20224041,False,False,False,SA,Other
2050,20222190,False,False,False,VIC,Other
2051,20222101,False,False,False,VIC,Other
2052,20227025,False,False,False,NT,Other
2053,20221067,False,False,False,NSW,Other
2054,20223034,False,False,True,QLD,Articulated Truck
2055,20222006,False,False,False,VIC,Other
2056,20221190,False,False,False,NSW,Other
2057,20222104,False,False,False,VIC,Other
2058,20221106,False,False,False,NSW,Other
2059,20223068,False,False,False,QLD,Other
2060,20221250,False,False,False,NSW,Other
2061,20221141,False,False,False,NSW,Other
2062,20226026,False,False,False,TAS,Other
2063,20221162,False,False,False,NSW,Other
2064,20222120,False,False,False,VIC,Other
2065,20223217,False,False,False,QLD,Other
2066,20222014,False,False,True,VIC,Articulated Truck
2067,20222109,False,False,False,VIC,Other
2068,20222166,False,False,False,VIC,Other
2069,20222131,False,False,False,VIC,Other
2070,20223154,False,False,False,QLD,Other
2071,20222225,False,False,True,VIC,Articulated Truck
2072,20221174,False,True,False,NSW,Heavy Rigid Truck
2073,20224036,False,False,False,SA,Other
2074,20223031,False,False,False,QLD,Other
2075,20223221,False,False,False,QLD,Other
2076,20221140,False,False,False,NSW,Other
2077,20222169,False,False,False,VIC,Other
2078,20221237,False,False,False,NSW,Other
2079,20221060,False,False,False,NSW,Other
2080,20222090,False,False,False,VIC,Other
2081,20222176,False,False,False,VIC,Other
2082,20222214,False,True,False,VIC,Heavy Rigid Truck
2083,20221243,False,False,False,NSW,Other
2084,20222208,False,False,False,VIC,Other
2085,20223118,False,False,False,QLD,Other
2086,20222172,False,False,False,VIC,Other
2087,20221127,False,False,False,NSW,Other
2088,20222183,False,False,False,VIC,Other
2089,20223153,False,False,False,QLD,Other
2090,20221244,False,False,False,NSW,Other
2091,20221133,False,False,False,NSW,Other
2092,20224026,False,False,False,SA,Other
2093,20222199,False,False,False,VIC,Other
2094,20224038,False,False,False,SA,Other
2095,20224051,False,False,False,SA,Other
2096,20223228,False,False,False,QLD,Other
2097,20221025,True,False,False,NSW,Bus
2098,20223025,False,False,False,QLD,Other
2099,20223147,False,False,True,QLD,Articulated Truck
2100,20223039,False,False,False,QLD,Other
2101,20222192,False,False,False,VIC,Other
2102,20222215,False,False,True,VIC,Articulated Truck
2103,20223061,False,False,False,QLD,Other
2104,20223170,False,False,True,QLD,Articulated Truck
2105,20221054,False,False,False,NSW,Other
2106,20221096,False,False,True,NSW,Articulated Truck
2107,20221235,False,False,False,NSW,Other
2108,20222047,False,False,False,VIC,Other
2109,20221010,False,False,False,NSW,Other
2110,20222195,False,False,False,VIC,Other
2111,20223117,False,False,False,QLD,Other
2112,20222233,False,False,False,VIC,Other
2113,20223121,False,False,False,QLD,Other
2114,20222119,False,False,False,VIC,Other
2115,20228003,False,False,False,ACT,Other
2116,20227018,False,False,False,NT,Other
2117,20221217,False,False,False,NSW,Other
2118,20221089,False,False,False,NSW,Other
2119,20226042,False,False,False,TAS,Other
2120,20223042,False,False,False,QLD,Other
2121,20227038,False,False,False,NT,Other
2122,20223114,False,False,False,QLD,Other
2123,20224053,False,False,False,SA,Other
2124,20222231,False,False,False,VIC,Other
2125,20223264,False,False,False,QLD,Other
2126,20226016,False,False,False,TAS,Other
2127,20222164,False,False,False,VIC,Other
2128,20221118,False,False,False,NSW,Other
2129,20223086,False,False,False,QLD,Other
2130,20224043,False,False,False,SA,Other
2131,20223265,False,False,False,QLD,Other
2132,20223180,False,False,False,QLD,Other
2133,20221168,False,False,False,NSW,Other
2134,20223100,False,False,False,QLD,Other
2135,20221239,False,True,False,NSW,Heavy Rigid Truck
