user_id,crash_id,age,gender,role,age_group,deceased
3513,20211252,29,Male,Motorcycle rider,26_to_39,True
3514,20211104,70,Male,Driver,65_to_74,True
3515,20212211,81,Female,Pedestrian,75_or_older,True
3516,20214063,24,Male,Passenger,17_to_25,True
3517,20211069,45,Male,Driver,40_to_64,True
3518,20215099,27,Male,Driver,26_to_39,True
3519,20217029,35,Female,Driver,26_to_39,True
3520,20214032,51,Male,Driver,40_to_64,True
3521,20212141,68,Male,Pedestrian,65_to_74,True
3522,20211096,71,Male,Pedal cyclist,65_to_74,True
3523,20211095,18,Male,Motorcycle rider,17_to_25,True
3524,20212089,63,Male,Motorcycle rider,40_to_64,True
3525,20213061,57,Female,Driver,40_to_64,True
3526,20211142,51,Male,Motorcycle rider,40_to_64,True
3527,20213048,30,Male,Motorcycle rider,26_to_39,True
3528,20213033,25,Male,Motorcycle rider,17_to_25,True
3529,20213156,19,Male,Driver,17_to_25,True
3530,20212188,47,Female,Driver,40_to_64,True
3531,20214069,64,Male,Passenger,40_to_64,True
3532,20211158,17,Female,Driver,17_to_25,True
3533,20213041,27,Male,Motorcycle rider,26_to_39,True
3534,20211144,52,Male,Pedal cyclist,40_to_64,True
3535,20216021,66,Male,Driver,65_to_74,True
3536,20212018,50,Female,Driver,40_to_64,True
3537,20211186,83,Male,Pedestrian,75_or_older,True
3538,20214053,19,Male,Motorcycle rider,17_to_25,True
3539,20217022,60,Male,Driver,40_to_64,True
3540,20211216,30,Male,Driver,26_to_39,True
3541,20215004,25,Female,Driver,17_to_25,True
3542,20213105,32,Male,Motorcycle rider,26_to_39,True
3543,20212103,84,Female,Pedestrian,75_or_older,True
3544,20212047,79,Male,Pedestrian,75_or_older,True
3545,20215021,17,Male,Driver,17_to_25,True
3546,20212064,1,Male,Pedestrian,0_to_16,True
3547,20211228,66,Female,Passenger,65_to_74,True
3548,20211218,78,Female,Passenger,75_or_older,True
3549,20215073,32,Male,Driver,26_to_39,True
3550,20213173,43,Female,Driver,40_to_64,True
3551,20213034,61,Female,Driver,40_to_64,True
3552,20213171,27,Male,Driver,26_to_39,True
3553,20215009,32,Male,Driver,26_to_39,True
3554,20214073,44,Female,Pedestrian,40_to_64,True
3555,20213146,23,Male,Pedestrian,17_to_25,True
3556,20213146,26,Female,Driver,26_to_39,True
3557,20215098,45,Male,Motorcycle rider,40_to_64,True
3558,20213099,13,Male,Driver,0_to_16,True
3559,20211162,25,Female,Driver,17_to_25,True
3560,20212099,22,Male,Motorcycle rider,17_to_25,True
3561,20213100,48,Female,Passenger,40_to_64,True
3562,20212003,20,Female,Driver,17_to_25,True
