Crash ID,bus_flag,heavy_rigid_flag,articulated_flag,vehicle_type,vehicle_id
20232067,False,False,False,Other,953
20234079,False,False,False,Other,954
20231023,False,False,False,Other,955
20233221,False,False,False,Other,956
20233081,False,False,False,Other,957
20231076,False,False,False,Other,958
20232045,False,False,False,Other,959
20236006,False,False,False,Other,960
20234061,False,False,False,Other,961
20232201,False,False,False,Other,962
20236025,False,False,False,Other,963
20233189,False,False,False,Other,964
20233111,False,False,False,Other,965
20232097,False,False,False,Other,966
20233036,False,False,False,Other,967
20231250,False,False,False,Other,968
20233228,False,False,False,Other,969
20234084,False,False,False,Other,970
20232009,False,False,False,Other,971
20231145,False,False,False,Other,972
20231056,False,True,False,Heavy Rigid Truck,973
20232115,False,True,False,Heavy Rigid Truck,974
20233012,False,False,False,Other,975
20232018,False,False,False,Other,976
20233200,False,False,False,Other,977
20233110,False,False,False,Other,978
20233154,False,False,False,Other,979
20231223,False,False,False,Other,980
20234067,False,False,False,Other,981
20231182,False,False,False,Other,982
20238004,False,False,False,Other,983
20231173,False,False,False,Other,984
20233155,False,False,False,Other,985
20233161,False,False,False,Other,986
20234020,False,False,False,Other,987
20231052,False,False,False,Other,988
20231296,False,False,False,Other,989
20231143,False,False,False,Other,990
20234021,False,False,False,Other,991
20231302,False,False,False,Other,992
20231285,False,True,False,Heavy Rigid Truck,993
20231178,False,False,False,Other,994
20234031,False,False,False,Other,995
20237013,False,False,False,Other,996
20233136,False,False,False,Other,997
20233051,False,False,False,Other,998
20231229,False,False,False,Other,999
20233176,False,True,False,Heavy Rigid Truck,1000
20234068,False,False,False,Other,1001
20231044,True,False,False,Bus,1002
20231190,False,False,False,Other,1003
20236012,False,False,False,Other,1004
20233205,False,False,False,Other,1005
20233074,False,False,False,Other,1006
20233050,False,False,False,Other,1007
20231045,False,False,False,Other,1008
20231205,False,False,False,Other,1009
20234025,False,False,False,Other,1010
20231119,False,False,False,Other,1011
20231272,False,False,False,Other,1012
20233139,False,False,False,Other,1013
20233043,False,False,False,Other,1014
20231256,False,False,False,Other,1015
20234018,False,False,False,Other,1016
20231278,False,False,False,Other,1017
20233008,False,False,False,Other,1018
20234063,False,False,False,Other,1019
20233069,False,False,False,Other,1020
20234017,False,False,False,Other,1021
20231029,False,False,False,Other,1022
20231111,False,False,True,Articulated Truck,1023
20234034,False,False,False,Other,1024
20231160,False,False,False,Other,1025
20233224,False,False,False,Other,1026
20231139,False,False,False,Other,1027
20231303,False,True,False,Heavy Rigid Truck,1028
20231283,False,False,True,Articulated Truck,1029
20231141,False,False,False,Other,1030
20231206,False,False,True,Articulated Truck,1031
20233017,False,False,False,Other,1032
20231175,False,False,False,Other,1033
20233073,True,False,False,Bus,1034
20233114,False,False,False,Other,1035
20231064,False,False,False,Other,1036
20233032,False,False,False,Other,1037
20233063,False,False,False,Other,1038
20231271,False,False,False,Other,1039
20234094,False,False,False,Other,1040
20231152,False,True,False,Heavy Rigid Truck,1041
20231068,False,False,True,Articulated Truck,1042
20233020,False,False,False,Other,1043
20233134,False,False,False,Other,1044
20233198,False,False,False,Other,1045
20231252,False,False,False,Other,1046
20231227,False,False,False,Other,1047
20231292,False,True,False,Heavy Rigid Truck,1048
20232065,False,False,False,Other,1049
20232171,False,False,False,Other,1050
20232063,False,False,False,Other,1051
20232074,False,False,True,Articulated Truck,1052
20231288,False,False,False,Other,1053
20232170,False,False,False,Other,1054
20231133,False,False,False,Other,1055
20231249,False,False,False,Other,1056
20231171,False,False,False,Other,1057
20233196,False,False,False,Other,1058
20233245,False,False,False,Other,1059
20231025,False,False,False,Other,1060
20231244,False,False,False,Other,1061
20232118,False,False,False,Other,1062
